"WARD_CODE","Rall","Rallr","Call","Callr","C500","C500r","R500","R500r","C1000","C1000r","R1000","R1000r","CS1","CS1r","RS1","RS1r","CS2","CS2r","RS2","RS2r","CS3","CS3r","RS3","RS3r","CY120","CY120r","RY120","RY120r","CY12014","CY12014r","RY12014","RY12014r","CY123","CY123r","RY123","RY123r","Pall","Pallr","P500","P500r","P1000","P1000r","PS1","PS1r","PS2","PS2r","PS3","PS3r","PY120","PY120r","PY12014","PY12014r","PY123","PY123r","Ccumall","Pcumall","Ccum500","Pcum500","Ccum1000","Pcum1000","CcumS1","PcumS1","CcumS2","PcumS2","CcumS3","PcumS3","CcumY120","PcumY120","CcumY12014","PcumY12014","CcumY123","PcumY123"
1,-1.23716875664768,10,-86.1410706045126,9,-0.568218937282445,25,-0.363909319508821,16,-10.6990095254427,12,-0.972098603123619,9,-4.05727409103708,3,-0.403326526847343,2,-4.05727409103708,4,-0.403326526847343,3,-6.6242168131092,7,-0.462266266079886,8,-4.05727409103708,4,-0.403326526847343,3,-4.05727409103708,4,-0.403326526847343,3,-6.6242168131092,7,-0.462266266079886,8,76397.9846916199,29,1471.99402618408,7,11085.5734062195,11,10673.1619873047,32,10673.1619873047,31,15342.4457778931,28,10673.1619873047,31,10673.1619873047,31,15342.4457778931,28,-68.2697574047418,876453.437299013,-12.6808468008261,404439.098980427,-25.7859428610719,426583.482440472,-0.685325384257814,28646.0385055542,-6.10086512436569,28442.5587730408,-9.65409025191543,37860.8277206421,-6.09749149529089,28242.9910354614,-6.10086512436569,28442.5587730408,-9.65409025191543,37860.8277206421
2,-1.25733941795203,9,-85.7844847100319,10,0,30.5,NA,NA,0,30.5,NA,NA,0,20,NA,NA,0,20.5,NA,NA,-27.5402720226379,3,-1.01680894316492,5,0,20.5,NA,NA,0,20.5,NA,NA,-27.5402720226379,3,-1.01680894316492,5,71023.9118652344,28,0,3.5,0,3.5,0,14,0,13.5,28432.2255172729,31,0,13.5,0,13.5,28432.2255172729,31,-71.8620725098521,947477.349164247,-12.7106439756969,412765.138697148,-28.783951312178,689561.52553606,-0.832923606304997,0,-6.24846334641288,0,-7.30021607963103,111239.798072815,-6.24508971733807,0,-6.24846334641288,0,-7.30021607963103,111239.798072815
3,-0.831141291968959,15,-23.6295513897429,17,0,30.5,NA,NA,0,30.5,NA,NA,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,29681.3176193237,10,0,3.5,0,3.5,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-82.8368510027427,1253820.28945041,-12.7106439756969,412765.138697148,-28.783951312178,689561.52553606,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
4,-0.138788101890975,29,-3.04704889677809,30,0,30.5,NA,NA,0,30.5,NA,NA,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,13815.332028389,3,0,3.5,0,3.5,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-89.3748482579231,1725096.34747612,-12.7106439756969,412765.138697148,-28.783951312178,689561.52553606,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
5,-0.951375669175246,13,-42.4813864352056,13,-1.3158754237998,21,-0.172367589973559,20,-5.26832972221931,19,-0.331339180281805,17,0,20,NA,NA,0,20.5,NA,NA,-0.0102555677444381,14,-0.158031307160854,13,0,20.5,NA,NA,0,20.5,NA,NA,-0.0102555677444381,14,-0.158031307160854,13,52550.1130390167,18,7739.70086097717,12,15959.0465526581,14,0,14,0,13.5,64.8957977294922,21,0,13.5,0,13.5,64.8957977294922,21,-77.9604949426507,1078351.09761834,-12.5357392556424,365320.800093174,-28.0053169384256,559291.668716431,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,101.268535614014,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,101.268535614014
6,-0.146231938756711,27,-3.25281734861854,29,-1.37831540045129,20,-0.152400763552975,21,-2.37401530588615,23,-0.15850010444666,22,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,22654.3348045349,6,8793.34696578979,14,14736.894153595,13,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-89.2472498954115,1711281.01544774,-12.4806355946793,357581.099232197,-28.6251671504515,640920.967076778,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
7,-0.140679266588973,28,-2.88168030247537,31,-0.269230781141881,27,-0.0552740783916902,27,-0.710669037838411,26,-0.0722385720731403,27,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,22780.0621213913,7,4700.38315963745,10,9799.22641372681,9,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-89.4955216374237,1747876.40959752,-12.7106439756969,412765.138697148,-28.7654284581255,685935.868978977,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
8,-0.0839090142697319,32,-3.79028709362319,27,-1.06013006153174,23,-0.0691818788457586,26,-1.90492898752713,24,-0.0798911281787902,25,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,53244.6811356544,19,15952.0100593567,21,24886.5248603821,23,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-88.9647442153808,1652343.52906907,-12.6264445274172,392660.247680187,-28.7049380460766,665807.49193716,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
9,-0.407787384078321,22,-17.3401051610273,22,0,30.5,NA,NA,0,30.5,NA,NA,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,26145.3654241562,8,0,3.5,0,3.5,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-87.1292524870393,1468726.20169413,-12.7106439756969,412765.138697148,-28.783951312178,689561.52553606,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
10,-1.99948508730356,3,-534.734289817684,1,0,30.5,NA,NA,0,30.5,NA,NA,0,20,NA,NA,-24.5330523781425,2,-4.27165788254933,1,-24.5330523781425,4,-4.27165788254933,1,-24.4524901158361,2,-4.53556051800648,1,-24.5330523781425,2,-4.27165788254933,1,-24.5330523781425,4,-4.27165788254933,1,172559.859415531,33,0,3.5,0,3.5,0,14,5547.42015457153,29,5547.42015457153,26,5347.85241699219,29,5547.42015457153,29,5547.42015457153,26,-22.3925582000705,172559.859415531,-12.7106439756969,412765.138697148,-28.783951312178,689561.52553606,-0.832923606304997,0,-5.593483079388,8247.04238510131,-8.32756333164705,12880.5461883545,-5.59010945031319,8047.47464752197,-5.593483079388,8247.04238510131,-8.32756333164705,12880.5461883545
11,-1.81000088337301,4,-323.442617484537,2,-10.6590238892728,7,-0.672293367100529,7,-38.4609266684889,7,-1.31104019238912,5,-4.24928694200934,2,-0.75126881386305,1,-109.039323557643,1,-3.58584768410368,2,-109.039323557643,1,-3.58584768410368,2,-109.039323557643,1,-3.58584768410368,2,-109.039323557643,1,-3.58584768410368,2,-109.039323557643,1,-3.58584768410368,2,169757.893442154,32,17646.1786994934,23,31346.2924537659,25,5750.89988708496,30,30541.5148468018,33,30541.5148468018,32,30541.5148468018,33,30541.5148468018,33,30541.5148468018,32,-35.937056419691,342317.752857685,-9.37062264353879,169644.031271935,-22.2073126465845,318715.270337105,-0.515422784130633,8450.52211761474,-4.56613582737199,89432.1749610902,-4.56613582737199,141781.312919617,-4.56613582737199,89232.6072235108,-4.56613582737199,89432.1749610902,-4.56613582737199,141781.312919617
12,-0.191684962143273,24,-9.80864976660295,25,0,30.5,NA,NA,0,30.5,NA,NA,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,28373.465903759,9,0,3.5,0,3.5,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-88.4889309627566,1557550.72322333,-12.7106439756969,412765.138697148,-28.783951312178,689561.52553606,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
13,-0.0995595462481715,30,-0.650233860325013,33,-0.442325754772659,26,-0.121945837121187,22,-0.442325754772659,27,-0.121945837121187,23,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,6663.51883888245,1,3625.65655708313,8,3625.65655708313,7,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-89.5664161125952,1771115.6282655,-12.6993696548786,408064.75553751,-28.783951312178,689561.52553606,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
14,-0.0653527745279628,33,-1.04272620676851,32,-0.730907351722495,24,-0.0721485463300069,25,-0.733842001889248,25,-0.0722936422989999,26,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,16575.6998291016,4,10306.8572740555,15,10329.1506280899,10,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-89.5391868889635,1764452.10942662,-12.6570520379583,402967.104954243,-28.7356684481658,676136.64256525,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
15,-0.0985335116426665,31,-3.49341829051341,28,-1.43203219645951,19,-0.0951626872951322,24,-2.41265458489658,22,-0.115190913306774,24,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,36283.1515741348,12,16817.7824921608,22,23626.4927601814,22,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-89.1110347635597,1688626.6806432,-12.4229171943254,348787.752266407,-28.5257527741581,626184.072923183,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
16,-0.348492329097827,23,-23.3933746360492,18,-1.10591182844948,22,-0.107977726400587,23,-5.1725416795223,20,-0.203160852298195,21,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,58244.5904434919,22,11387.4375276566,18,22899.0869379044,21,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-83.8164730561786,1312064.8798939,-12.5820504712392,376708.237620831,-28.2219225363956,582190.755654335,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
17,-0.491646158849238,17,-36.4920054712923,14,-3.56816142882575,18,-0.370738776254913,14,-8.45920923131368,15,-0.334340769118314,16,0,20,NA,NA,0,20.5,NA,NA,-0.314213245250492,11,-0.332524198728303,11,0,20.5,NA,NA,0,20.5,NA,NA,-0.314213245250492,11,-0.332524198728303,11,67208.9576678276,26,7279.401679039,11,17628.0795793533,15,0,14,0,13.5,1014.78649902344,24,0,13.5,0,13.5,1014.78649902344,24,-79.4886358752844,1145560.05528617,-12.3629493469025,331969.969774246,-26.9529411201449,495968.835863113,-0.832923606304997,0,-6.24846334641288,0,-9.93788229232529,2481.00300979615,-6.24508971733807,0,-6.24846334641288,0,-9.93788229232529,2481.00300979615
18,-0.879105534513111,14,-11.9626867034266,23,-3.62260482229223,17,-0.823770550654994,5,-6.66825131563336,17,-0.822291717399953,10,0,20,NA,NA,0,20.5,NA,NA,-0.0144232101531234,13,-0.396539028733969,9,0,20.5,NA,NA,0,20.5,NA,NA,-0.0144232101531234,13,-0.396539028733969,9,13610.5864696503,2,4107.62777996063,9,7910.54108524323,8,0,14,0,13.5,36.3727378845215,20,0,13.5,0,13.5,36.3727378845215,20,-87.630202516496,1482336.78816378,-12.213528851558,324690.568095207,-27.5481613197222,529501.030212402,-0.832923606304997,0,-6.24846334641288,0,-9.94107697996598,36.3727378845215,-6.24508971733807,0,-6.24846334641288,0,-9.94107697996598,36.3727378845215
19,-1.66571732086706,5,-109.928541032036,6,-63.1735893467837,1,-1.598556820456,3,-104.224759791392,2,-2.02708780195817,2,-0.640530105225832,5,-0.335116947276725,3,-0.640530105225832,6,-0.335116947276725,4,-37.749564401308,2,-1.97871752609981,3,-0.640530105225832,6,-0.335116947276725,4,-0.640530105225832,6,-0.335116947276725,4,-37.749564401308,2,-1.97871752609981,3,66832.0277137756,25,40938.1604251862,33,53175.3391208649,31,1911.36291503906,29,1911.36291503906,28,20750.361618042,29,1911.36291503906,28,1911.36291503906,28,20750.361618042,29,-56.8928356485444,674311.516794681,-2.64546019040133,40938.1604251862,-8.76411404567182,89211.0171451569,-0.830332905689147,2699.62223052978,-6.24587264579703,2699.62223052978,-6.14693835673999,58611.1893386841,-6.24249901672222,2699.62223052978,-6.24587264579703,2699.62223052978,-6.14693835673999,58611.1893386841
20,-1.1704849090208,11,-23.7759181410871,16,-9.0133886819206,11,-0.886057859236324,4,-23.7759181410871,8,-1.1704849090208,8,-2.8222495065544,4,-0.295801691710949,4,-2.8222495065544,5,-0.295801691710949,5,-2.91762648796348,9,-0.312367515871301,12,-2.8222495065544,5,-0.295801691710949,5,-2.8222495065544,5,-0.295801691710949,5,-2.91762648796348,9,-0.312367515871301,12,20188.2142181396,5,10579.2234039307,16,20188.2142181396,18,9522.35440063477,31,9522.35440063477,30,9637.83575439453,27,9522.35440063477,30,9522.35440063477,30,9637.83575439453,27,-81.8473388004922,1224138.97183108,-10.980283020105,249351.096728325,-23.2029541097791,338903.484555244,-0.803510036961097,17972.8765182495,-6.21904977706898,17769.3967857361,-9.89916758467262,22518.381942749,-6.21567614799417,17569.8290481567,-6.21904977706898,17769.3967857361,-9.89916758467262,22518.381942749
21,-0.449361866827361,19,-18.0859015604235,21,-10.3691155532467,8,-0.544033558834798,10,-10.3691155532467,13,-0.544033558834798,14,0,20,NA,NA,0,20.5,NA,NA,-0.610293973495378,10,-1.05827288826307,4,0,20.5,NA,NA,0,20.5,NA,NA,-0.610293973495378,10,-1.05827288826307,4,40338.3769836426,15,19241.3167419434,26,19241.3167419434,16,0,14,0,13.5,576.688659667969,22,0,13.5,0,13.5,576.688659667969,22,-86.4031174300448,1442580.83626997,-9.80484021277022,188885.348013878,-26.2201604303033,445824.799182415,-0.832923606304997,0,-6.24846334641288,0,-9.92472428373021,677.957195281983,-6.24508971733807,0,-6.24846334641288,0,-9.92472428373021,677.957195281983
22,-1.29471414814136,8,-120.287282707492,5,-57.6052780049524,2,-1.75614871882927,2,-102.497705946789,3,-1.57887239642011,3,0,20,NA,NA,0,20.5,NA,NA,-15.250211981115,5,-0.700538313527133,6,0,20.5,NA,NA,0,20.5,NA,NA,-15.250211981115,5,-0.700538313527133,6,95538.4264240265,30,29515.2566251755,31,63514.8886318207,33,0,14,0,13.5,24196.3832168579,30,0,13.5,0,13.5,24196.3832168579,30,-52.2894629085094,607479.489080905,-5.0577415138918,70453.4170503617,-13.0563127871621,152725.905776978,-0.832923606304997,0,-6.24846334641288,0,-8.96618192382104,82807.572555542,-6.24508971733807,0,-6.24846334641288,0,-8.96618192382104,82807.572555542
23,-0.464316633817355,18,-32.5499077128751,15,-8.18331025933568,12,-0.531064725066597,11,-12.7981293801458,11,-0.606614737866107,12,0,20,NA,NA,0,20.5,NA,NA,-2.93482021827815,8,-0.618160839327761,7,0,20.5,NA,NA,0,20.5,NA,NA,-2.93482021827815,8,-0.618160839327761,7,58390.7023267746,23,13713.104891777,20,20672.420976162,20,0,14,0,13.5,4852.12302398682,25,0,13.5,0,13.5,4852.12302398682,25,-80.8516973372976,1203950.75761294,-11.3229677043317,263064.201620102,-25.3379106363883,415497.909034252,-0.832923606304997,0,-6.24846334641288,0,-9.77698892102255,7333.12603378297,-6.24508971733807,0,-6.24846334641288,0,-9.77698892102255,7333.12603378297
24,-0.184360706390414,26,-7.57213337904236,26,-4.72176041331737,13,-0.238472328452688,18,-4.84281149287325,21,-0.243510738483274,19,-0.0618659307065117,6,-0.0808912115171552,6,-0.0618659307065117,7,-0.0808912115171552,7,-0.0618659307065117,12,-0.0808912115171552,14,-0.0618659307065117,7,-0.0808912115171552,7,-0.0618659307065117,7,-0.0808912115171552,7,-0.0618659307065117,12,-0.0808912115171552,14,41548.124710083,16,20266.0165405273,28,20366.824508667,19,788.259315490723,28,788.259315490723,27,788.259315490723,23,788.259315490723,27,788.259315490723,27,788.259315490723,23,-88.8060219752793,1599098.84793341,-11.5206963648559,283330.218160629,-28.4247203376047,602557.580163002,-0.832923606304997,788.259315490723,-6.24846334641288,788.259315490723,-9.94047299294114,1466.21651077271,-6.24508971733807,788.259315490723,-6.24846334641288,788.259315490723,-9.94047299294114,1466.21651077271
25,-1.59946411084765,6,-97.6279239335047,7,-18.9545719325633,4,-0.761462407889512,6,-65.9379091147853,5,-1.55338622916146,4,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,55420.8746109009,20,24543.8596801758,29,40219.9765014648,30,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-60.981107170048,729732.391405582,-7.49176928429818,107753.047024727,-18.8707914505729,253232.291278839,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
26,-2.12441309479128,2,-131.287550347378,4,-39.1700112247411,3,-3.0577211245051,1,-105.062283619251,1,-2.91827404866549,1,0,20,NA,NA,0,20.5,NA,NA,0,24,NA,NA,0,20.5,NA,NA,0,20.5,NA,NA,0,24,NA,NA,63074.169342041,24,12755.7702941895,19,36035.678024292,28,0,14,0,13.5,0,10,0,13.5,0,13.5,0,10,-47.2523070162359,511941.062656879,-6.69802674105851,83209.1873445512,-4.39959311638405,36035.678024292,-0.832923606304997,0,-6.24846334641288,0,-9.94150644260184,0,-6.24508971733807,0,-6.24846334641288,0,-9.94150644260184,0
