"WARD_CODE","Rall","Rallr","Call","Callr","C500","C500r","R500","R500r","C1000","C1000r","R1000","R1000r","CT10W","CT10Wr","RT10W","RT10Wr","Pall","Pallr","P500","P500r","P1000","P1000r","PT10W","PT10Wr","Ccumall","Pcumall","Ccum500","Pcum500","Ccum1000","Pcum1000","CcumT10W","PcumT10W"
1,-1.0113519616425,7,-70.4234585675717,6,-33.6251771926774,6,-0.857200293268249,11,-33.6683253327938,6,-0.853905891684662,11,-70.4234585675717,6,-1.0113519616425,6,76397.9846916199,29,44163.9064941406,31,44410.1026916504,29,76397.9846916199,29,-40.1419264603133,644160.361029148,-17.4443244535121,265029.671262741,-22.2448060857092,338290.048738479,-40.1419264603133,403072.029425383
2,-0.819644738244109,10,-55.7545662979648,10,-20.6311504449649,8,-0.764275657904871,12,-21.3406627727252,9,-0.676754087477158,12,-55.7545662979648,10,-0.819644738244109,8,71023.9118652344,28,28849.1878662109,26,32626.268951416,26,71023.9118652344,28,-50.6675054708731,947477.349164247,-19.2055903238784,313444.378904343,-25.2309133595037,431070.762678146,-50.6675054708731,326674.044733763
3,-0.603360594029209,13,-16.884042315503,17,-9.3799842905085,14,-0.732724536773788,13,-11.4883171632477,14,-0.610314410605601,13,0,22,NA,NA,29681.3176193237,10,14098.5513839722,16,19984.0858688354,20,0,12,-57.3772863611839,1253820.28945041,-22.6890507744992,426546.110452175,-28.2387036103865,556843.377038002,-50.6675054708731,0
4,-0.09371309322987,27,-1.85393742100778,27,-0.451200251546853,26,-0.343882461940801,21,-1.00613276497397,25,-0.223846597909447,24,0,22,NA,NA,13815.332028389,3,942.502911567688,2,4205.04092931747,5,0,12,-60.7119355527063,1612914.1799618,-25.0859118101381,580095.808664322,-30.9601538638924,720850.049617052,-50.6675054708731,0
5,-0.653948975292871,12,-28.2457659003946,11,-18.3466207268147,10,-1.28821434989262,4,-18.7384663058796,10,-1.23638138305396,5,0,22,NA,NA,52550.1130390167,19,17422.5015010834,19,18241.3145236969,15,0,12,-51.8503264884776,1000027.46220326,-20.8310996886672,356006.593957424,-26.0156062533848,449312.077201843,-50.6675054708731,0
6,-0.0599016806581372,28,-1.31691749351331,28,-0.231371270569492,29,-0.0636918656114075,27,-0.231371270569492,29,-0.0636918656114075,27,0,22,NA,NA,22654.3348045349,7,3552.61632537842,4,3552.61632537842,3,0,12,-60.7670828514296,1635568.51476634,-25.1203188903855,601153.27409029,-31.0205854178378,750540.387538671,-50.6675054708731,0
7,-0.0274837552232542,31,-0.580104439533929,30,-0.263626560941123,28,-0.0395130517504202,29,-0.267476493917459,28,-0.0399944506271746,29,0,22,NA,NA,22578.3774242401,6,6021.99969387054,7,6058.58766841888,7,0,12,-60.8297009068462,1693043.02185118,-25.1106299762075,597600.657764912,-31.0108965036598,746987.771213293,-50.6675054708731,0
8,-0.00936585775020602,33,-0.439329421655781,32,-0.138566546159255,30,-0.010892043133256,32,-0.183184240348567,30,-0.0142625952220658,32,0,22,NA,NA,45573.1337218285,17,12942.9793615341,14,14240.8323879242,14,0,12,-60.8718153297121,1755191.85540211,-25.1261215095713,614096.253451824,-31.0282564496782,764781.219926595,-50.6675054708731,0
9,-0.259882427131136,20,-10.4277153117215,21,-4.20436713103275,20,-0.309313676871008,22,-7.61673276137852,18,-0.272497357338567,21,0,22,NA,NA,26145.3654241562,8,9838.6867890358,11,21058.4867224693,21,0,12,-59.4035468642208,1428387.82471049,-24.4932295168437,509587.175453186,-29.7486371605994,605394.624798298,-50.6675054708731,0
10,-1.5600640273861,2,-400.960235124852,1,-166.909677063386,1,-5.50351168945819,1,-226.142722107744,1,-3.94262165447911,1,-400.960235124852,1,-1.5600640273861,2,172559.859415531,33,29244.2308158875,27,53024.7297821045,32,172559.859415531,33,-16.7906296115935,172559.859415531,-6.98951746496591,29244.2308158875,-9.46996323734271,53024.7297821045,-16.7906296115935,947477.349164247
