"WARD_CODE","Rall","Rallr","Call","Callr","C500","C500r","R500","R500r","C1000","C1000r","R1000","R1000r","CT10W","CT10Wr","RT10W","RT10Wr","Pall","Pallr","P500","P500r","P1000","P1000r","PT10W","PT10Wr","Ccumall","Pcumall","Ccum500","Pcum500","Ccum1000","Pcum1000","CcumT10W","PcumT10W"
11,-1.24231137398543,3,-218.632611033025,2,-101.836218672057,2,-1.38926049120686,3,-150.625766218675,2,-1.35429427299507,3,-218.632611033025,2,-1.24231137398543,3,169757.893442154,32,73321.2759170532,33,109253.999082565,33,169757.893442154,32,-25.9460990853382,342317.752857685,-11.254015734315,102565.506732941,-15.777574888041,162278.72886467,-25.9460990853382,774917.489748716
12,-0.157022677975635,24,-7.77836648099412,22,0,33,NA,NA,0,33,NA,NA,0,22,NA,NA,28373.465903759,9,0,1,0,1,0,12,-59.7292741037934,1456761.29061425,-25.1362632417776,619937.167618275,-31.0383981818844,770622.134093046,-50.6675054708731,0
13,-0.0497062684321576,29,-0.331683339674334,33,-0.117293124055833,32,-0.0605628270389778,28,-0.117293124055833,32,-0.0605628270389778,28,0,22,NA,NA,6663.51883888245,1,1933.18454742432,3,1933.18454742432,2,0,12,-60.8857049168006,1761855.37424099,-25.1362632417776,619937.167618275,-31.0383981818844,770622.134093046,-50.6675054708731,0
14,-0.0346732206028443,30,-0.566362996381572,31,-0.124891441029979,31,-0.032500990100351,30,-0.124891441029979,31,-0.032500990100351,30,0,22,NA,NA,16575.6998291016,4,3907.72961902618,5,3907.72961902618,4,0,12,-60.8534179502457,1709618.72168028,-25.1313514694135,618003.98307085,-31.0334864095203,768688.949545622,-50.6675054708731,0
15,-0.021686008911854,32,-0.915214723813897,29,-0.326643244794895,27,-0.0252325961504704,31,-0.344258809887164,27,-0.0227699624921809,31,0,22,NA,NA,34896.1296606064,12,11482.8494067192,13,12473.3247618675,12,0,12,-60.8054084261287,1670464.64442694,-25.0995903379771,591578.658071041,-30.9996956454556,740929.183544874,-50.6675054708731,0
16,-0.174701304760885,23,-11.9833377029606,20,-5.05174642693028,19,-0.357177938595414,20,-7.59575379917803,19,-0.409824428669435,17,0,22,NA,NA,58244.5904434919,22,19025.3556222916,21,25821.0513513088,22,0,12,-58.9668753687551,1402242.45928633,-24.3171672416748,499748.48866415,-30.0667173029436,631215.676149606,-50.6675054708731,0
17,-0.376160957535603,16,-25.8493307816266,12,-12.3359884650959,11,-0.395305281276141,17,-14.8269137544569,11,-0.403335205620743,18,0,22,NA,NA,67208.9576678276,26,32942.7639732361,29,40470.6883401871,27,0,12,-52.9327942766529,1067236.41987109,-21.3476821202039,388949.35793066,-26.6364987891661,489782.76554203,-50.6675054708731,0
18,-0.304579634332725,18,-4.25205616381199,25,-2.27180639997217,24,-0.372853024914296,18,-2.27180639997217,24,-0.372853024914296,19,0,22,NA,NA,13610.5864696503,2,5893.17029762268,6,5893.17029762268,6,0,12,-60.4662782835106,1557550.72322333,-25.0418917437484,571547.4965868,-30.9180210010376,716645.008687734,-50.6675054708731,0
19,-1.23218284401422,4,-81.2880303552145,5,-36.9662223349224,4,-1.26302743406706,5,-36.9662223349224,5,-1.26302743406706,4,-81.2880303552145,5,-1.23218284401422,4,66832.0277137756,25,29708.8131542206,28,29708.8131542206,25,66832.0277137756,26,-37.1928704063949,567762.376337528,-14.6080840959647,180804.451063156,-20.8349097149892,293879.946046829,-37.1928704063949,185327.071666718
20,-0.930495717699694,8,-18.98122121071,16,-8.90212731489027,17,-1.05261053774377,8,-8.90212731489027,17,-1.05261053774377,8,0,22,NA,NA,20188.2142181396,5,8514.63935852051,10,8514.63935852051,10,0,12,-56.6702494132985,1224138.97183108,-23.8319639894932,463475.869102001,-29.4296785022502,584336.138075828,-50.6675054708731,0
21,-0.193155315423081,22,-7.64671170363142,23,-3.21778982671526,23,-0.227103052755534,24,-3.21778982671526,23,-0.227103052755534,23,0,22,NA,NA,40338.3769836426,15,13684.1864929199,15,13684.1864929199,13,0,12,-60.0494881617344,1497099.66759789,-24.9467574723928,565654.326289177,-30.822886729682,710751.838390112,-50.6675054708731,0
22,-0.912250960419602,9,-85.6790447753144,4,-43.1289301412713,3,-0.984720731431093,10,-44.7856086651844,3,-0.978654716487451,9,-85.6790447753144,4,-0.912250960419602,7,95538.4264240265,30,48530.1311759949,32,50970.5284519196,31,95538.4264240265,30,-33.788849034736,500930.348623752,-13.0600848357083,151095.637908936,-17.6530191370018,213249.257316589,-33.788849034736,498610.455849409
23,-0.348271211502617,17,-24.7341538723836,13,-9.22995151531331,15,-0.565597274426605,15,-13.4787631418895,12,-0.521284040394267,16,0,22,NA,NA,58390.7023267746,23,17705.5152359009,20,27591.5000038147,24,0,12,-53.9685628642737,1125627.12219787,-23.07556465705,444251.625688076,-27.2009361066656,517374.265545845,-50.6675054708731,0
24,-0.0997090823593594,26,-4.01235816738352,26,-0.599998933840655,25,-0.0800226774360789,26,-0.599998933840655,26,-0.0800226774360789,26,0,22,NA,NA,41548.124710083,16,7605.80916595459,8,7605.80916595459,8,0,12,-60.6342999823123,1599098.84793341,-25.0670173272426,579153.305752754,-30.9852794473866,728455.858783006,-50.6675054708731,0
25,-1.15422360791296,5,-70.2872122717678,7,-10.3776643589637,13,-1.12264562478545,7,-10.3776643589637,15,-1.12264562478545,7,-70.2872122717678,7,-1.15422360791296,5,55420.8746109009,20,8268.51762390137,9,8268.51762390137,9,55420.8746109009,24,-43.0852770579585,699581.235640049,-22.2962541124176,412447.559068203,-28.673279169807,565111.894661903,-43.0852770579585,55420.8746109009
26,-1.64387265530478,1,-101.605824016304,3,-21.4278785393805,7,-1.13882164908694,6,-21.4278785393805,8,-1.13882164908694,6,-101.605824016304,3,-1.64387265530478,1,63074.169342041,24,19565.5197753906,23,19565.5197753906,18,63074.169342041,25,-30.2009493372773,405391.922199726,-18.3416393002199,284595.191038132,-24.337250764331,398444.49372673,-30.2009493372773,118495.043952942
27,-0.567576727105512,15,-58.5243336217261,9,-20.470542904343,9,-0.665815341062935,14,-28.5397003861071,7,-0.574561026314136,14,-58.5243336217261,9,-0.567576727105512,10,70323.0612018108,27,25139.7135519981,25,40588.9252128601,28,70323.0612018108,27,-48.332724637625,876453.437299013,-20.0628157386331,338584.092456341,-23.4399359176233,378878.973951339,-48.332724637625,255650.132868528
28,-0.249206618123204,21,-12.7859296319015,19,-4.17365163269762,21,-0.232291253422714,23,-4.17365163269762,21,-0.232291253422714,22,0,22,NA,NA,57295.5927848816,21,19511.55235672,22,19511.55235672,17,0,12,-58.4650605570733,1343997.86884284,-24.6680055483637,529098.727809906,-30.5363706597356,670430.167586565,-50.6675054708731,0
29,-1.04916060638585,6,-22.9326231304324,14,-12.2742348151001,12,-1.78108294332354,2,-13.2935708256056,13,-1.42096347555084,2,0,22,NA,NA,39034.7991218567,13,15229.6835136414,17,19485.0256233215,16,0,12,-54.9288904660506,1164661.92131972,-21.861678552997,404179.041444302,-27.7576183020427,536859.291169166,-50.6675054708731,0
30,-0.770723556830947,11,-66.7847145807099,8,-34.1042425455559,5,-0.99745412989322,9,-39.0173246674168,4,-0.860313754511244,10,-66.7847145807099,8,-0.770723556830947,9,106549.140457153,31,40061.3137054443,30,50921.8755760193,30,106549.140457153,31,-45.8819568980217,806130.376097202,-16.0362349563313,220865.7647686,-19.2869104547328,264171.132892608,-45.8819568980217,605159.596306562
31,-0.568660709985349,14,-22.6024304495717,15,-6.53490723516613,18,-0.366052610260074,19,-7.04167052749614,20,-0.340830395512928,20,0,22,NA,NA,39288.8362932205,14,17247.2639398575,18,19702.9390802383,19,0,12,-55.8753909036373,1203950.75761294,-24.1056200713679,480723.133041859,-30.3615946282156,650918.615229845,-50.6675054708731,0
32,-0.271189381202825,19,-13.1901181659371,18,-9.16068874385341,16,-0.543286784487062,16,-9.16068874385341,16,-0.543286784487062,15,0,22,NA,NA,32881.9866075516,11,10709.6040554047,12,10709.6040554047,11,0,12,-57.9296363681327,1286702.27605796,-23.4591780885347,454961.229743481,-29.0568926012917,575821.498717308,-50.6675054708731,0
33,-0.101813346621159,25,-5.70089194420392,24,-3.43880611909905,22,-0.135239961150338,25,-3.62421392360352,22,-0.116504032738429,25,0,22,NA,NA,46840.4691557884,18,22871.411986351,24,26637.484310627,23,0,12,-60.2882189801684,1543940.13675368,-24.8120091546911,551970.139796257,-30.6881384119803,697067.651897192,-50.6675054708731,0
