"WARD_CODE","Rall","Rallr","Call","Callr","CWBOS","CWBOSr","RWBOS","RWBOSr","CWBOSC","CWBOSCr","RWBOSC","RWBOSCr","Pall","Pallr","PWBOS","PWBOSr","PWBOSC","PWBOSCr","Ccumall","Pcumall","CcumWBOS","PcumWBOS","CcumWBOSC","PcumWBOSC"
23,-0.236339990631052,16,-20.0834604144999,12,0,18.5,NA,NA,0,18.5,NA,NA,57439.6608872414,24,0,15.5,0,15.5,-51.2264938418802,990264.128099919,-22.8312503144622,0,-22.0280611513584,0
24,-0.077935232297473,23,-3.4175215387543,24,0,18.5,NA,NA,0,18.5,NA,NA,36211.3089408875,18,0,15.5,0,15.5,-55.9726661297141,1350220.25938308,-22.8312503144622,0,-22.0280611513584,0
25,-1.30006526140986,4,-79.9387445193661,5,0,18.5,NA,NA,0,18.5,NA,NA,55420.8746109009,23,0,15.5,0,15.5,-36.1690760253643,551228.952670574,-22.8312503144622,0,-22.0280611513584,0
26,-1.45125691337414,1,-89.7534600721068,4,-89.7534600721068,2,-1.45125691337414,1,-89.7534600721068,2,-1.45125691337414,1,63074.169342041,26,63074.169342041,31,63074.169342041,31,-32.8215574106504,495808.078059674,-20.14948756761,63074.169342041,-19.3462984045062,63074.169342041
27,-0.43557695166945,13,-54.1485717221387,9,0,18.5,NA,NA,0,18.5,NA,NA,50538.8662991524,22,0,15.5,0,15.5,-47.1524859211078,815673.932420731,-22.8312503144622,0,-22.0280611513584,0
28,-0.217442594652946,17,-11.0919109660328,18,0,18.5,NA,NA,0,18.5,NA,NA,46133.3621139526,21,0,15.5,0,15.5,-54.614565823816,1209025.23140621,-22.8312503144622,0,-22.0280611513584,0
29,-1.42178822231156,2,-29.4016470307706,11,0,18.5,NA,NA,0,18.5,NA,NA,34038.5401058197,17,0,15.5,0,15.5,-50.3854779116248,932824.467212677,-22.8312503144622,0,-22.0280611513584,0
30,-0.470511725630079,11,-47.8022017027764,10,0,18.5,NA,NA,0,18.5,NA,NA,83111.9946861267,30,0,15.5,0,15.5,-49.1542531615925,898785.927106858,-22.8312503144622,0,-22.0280611513584,0
31,-0.316203874483052,15,-12.4101447055527,16,0,18.5,NA,NA,0,18.5,NA,NA,25199.0025110245,15,0,15.5,0,15.5,-53.6629288870942,1124913.22693157,-22.8312503144622,0,-22.0280611513584,0
32,-0.15503344711573,20,-8.05607992030118,20,0,18.5,NA,NA,0,18.5,NA,NA,14285.551779747,8,0,15.5,0,15.5,-55.3118750539152,1260970.81434441,-22.8312503144622,0,-22.0280611513584,0
33,-0.036223413463641,27,-2.50966465657423,26,0,18.5,NA,NA,0,18.5,NA,NA,22759.1418676376,13,0,15.5,0,15.5,-56.2180384030498,1396974.32284772,-22.8312503144622,0,-22.0280611513584,0
