"WARD_CODE","Rall","Rallr","Call","Callr","Pall","Pallr","Ccumall","Pcumall"
1,-0.0986713573093648,2,-6.99494290298271,3,44510.1159706116,33,-1.15369961491436,98179.3861351014
2,-0.00078524032664919,19,-0.0516219636658478,18,1517.23345947266,16,-2.17228167267362,207898.213756561
3,-0.0017428402770818,17,-0.0375178303807225,19,167.523986816406,11,-2.17385277109828,208065.737743378
4,-3.15464743214832e-05,24,-0.00190593020370215,24,34.5632629394531,9,-2.17691065434817,213670.839668274
5,-0.0740867016197703,4,-4.27048253815198,6,15939.7739295959,29,-1.75040870146314,161057.338090897
6,-0.00975231333135286,11,-0.249873064070714,14,3008.98079681396,23,-2.15043824584343,200148.537387848
7,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
8,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
9,-0.009376172931106,12,-0.928939143415141,10,1592.31099319458,18,-2.07573839127682,191144.500749588
10,-0.0166103104146418,10,-5.0088128560742,4,10150.9896621704,27,-1.36344889699452,108330.375797272
11,-0.0541061176341181,6,-11.0066991099925,1,26803.510345459,30,-0.46091704815714,26803.510345459
12,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
13,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
14,-2.61580241479565e-06,25,-4.67180854272654e-05,25,55.0383491516113,10,-2.17691261071691,213725.878017425
15,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
16,-0.00129654347822035,18,-0.299587707331627,13,1626.43885326385,19,-2.13997454969306,197139.556591034
17,-0.0214598776119863,9,-1.08882353255281,9,10451.757818222,28,-2.03683809213883,189552.189756393
18,-0.0397962876448009,8,-0.493729102736004,12,1985.18175029755,20,-2.12742900080983,195513.11773777
19,-0.000359456524962471,22,-0.0173683146615997,22,2184.64739990234,21,-2.17653044308623,213148.314300537
20,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
21,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
22,-0.0733513565766006,5,-4.97011759255869,5,36787.1883640289,32,-1.57157777440485,145117.564161301
23,-0.00199031133091407,15,-0.145934859220345,16,1379.06606292725,14,-2.16553662504186,202968.615291595
24,-0.00017171927860805,23,-0.00717351473139843,23,487.962104797363,12,-2.17683084152557,213636.276405334
25,-0.00194761265962445,16,-0.109449773780627,17,3412.36500549316,24,-2.17011994890202,206380.980297089
26,-0.00356015503643993,14,-0.214614436038195,15,1441.01184082031,15,-2.15942545003263,201589.549228668
27,-0.00740150212318905,13,-0.740642652912319,11,2383.43523788452,22,-2.10675357774718,193527.935987472
28,-0.000532454955787603,20,-0.024077277765238,20,1326.08123779297,13,-2.17486103231123,209391.818981171
29,-0.0444241218157142,7,-1.66750459701431,8,8865.14601325989,25,-1.99124246682255,179100.431938171
30,-0.0884309746325016,3,-9.5487047911797,2,26865.7598190308,31,-0.860779057838032,53669.2701644898
31,-0.099518149299067,1,-4.08360571976838,7,9177.94783401489,26,-1.92141396611006,170235.285924911
32,0,29.5,0,29.5,0,4.5,-2.17691261071691,213725.878017425
33,-0.000374809742174015,21,-0.0224972146456286,21,1571.84791946411,17,-2.17580312672687,210963.666900635
