"WARD_CODE","Rall","Rallr","Call","Callr","C500","C500r","R500","R500r","C1000","C1000r","R1000","R1000r","Pall","Pallr","P500","P500r","P1000","P1000r","Ccumall","Pcumall","Ccum500","Pcum500","Ccum1000","Pcum1000"
1,-0.352838957176098,1,-24.2166642675874,2,-14.1675520725094,2,-0.36567999968685,2,-14.1817081716097,2,-0.364191203841553,2,76164.9999084473,32,44047.76612854,33,44293.9623260498,32,-3.4053599664833,212269.441030502,-1.70847996845894,72041.3532295227,-2.09865618715848,94690.6920204163
2,-0.00777016446240968,13,-0.556134487786958,11,-0.521151739918078,10,-0.0185698473995382,10,-0.522705665068606,10,-0.0157830049594243,10,8639.68807983398,23,7574.10020446777,24,7687.84799194336,24,-5.92908987548958,516759.95930171,-2.79783106908915,202013.51909256,-3.21323891209989,232810.866641998
3,-0.00790295755700842,12,-0.248755641723519,12,-0.189075019770539,12,-0.0133176441578304,12,-0.189075019770539,12,-0.00905599802732468,12,4102.75895690918,21,2604.91329956055,22,2604.91329956055,22,-5.93950677840932,520862.718258619,-2.81923930752165,209081.312391281,-3.23777267432382,242690.110496521
4,-0.000490079439422052,16,-0.00293638683750938,17,0,24,0,23.5,0,24,0,23.5,475.990643978119,18,0,10,0,10,-5.95054035739789,531973.965472221,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
5,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
6,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
7,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
8,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
9,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
10,-0.263048797193632,2,-57.1033317320338,1,-26.6309495742902,1,-0.903914314779368,1,-35.9342015777347,1,-0.642241237068335,1,136104.441122055,33,27993.5871009827,31,50396.7296943665,33,-2.39126179782386,136104.441122055,-1.11519889339574,27993.5871009827,-1.50478231062541,50396.7296943665
11,-0.0181686362410708,9,-2.77426500698407,9,-1.86179655458023,9,-0.0294370909599721,9,-2.2675109935316,9,-0.0243131703302589,9,26511.2682342529,26,14177.6016616821,27,20587.0283031464,29,-5.86637796771753,497238.625348568,-2.77600729438571,194439.418888092,-3.19135006515396,225123.018650055
12,-0.00822572958566095,11,-0.194306937639124,13,0,24,NA,NA,0,24,NA,NA,8484.25277590752,22,0,10,0,10,-5.94764358484312,529346.971034527,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
13,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
14,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
15,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
16,-1.84592016376712e-05,18,-0.00024823112137722,18,0,24,0,23.5,0,24,0,23.5,91.4524634480476,17,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
17,-0.000543267553454609,15,-0.0120542812380849,15,-0.00756310541187513,13,-0.00024104570248635,13,-0.00756310541187513,13,-0.000164710294047527,13,1444.26288795471,20,918.678344726562,21,918.678344726562,21,-5.95003051767949,530861.765965939,-2.8195560204786,209999.990736008,-3.23808938728077,243608.788841248
18,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
19,-0.1240481130424,6,-8.00173030377057,6,-5.21154248630706,4,-0.180154288167595,6,-5.21154248630706,4,-0.180154288167595,6,40171.5766296387,28,24964.8204040527,30,24964.8204040527,30,-5.35062857959125,419329.209973335,-2.23241751865145,131840.946907043,-2.62263047475455,154514.878702164
20,-0.239748221000328,3,-4.97725428671906,7,-2.45007242608442,7,-0.283799759015955,3,-2.45007242608442,7,-0.283799759015955,3,19062.5315246582,25,8268.50909423828,26,8268.50909423828,26,-5.55905631354096,438391.741497993,-2.60039198982643,172211.660381317,-2.99874504372068,196485.833501816
21,-0.00370487016300822,14,-0.0449456748944722,14,0,24,0,23.5,0,24,0,23.5,70.5320434570312,16,0,10,0,10,-5.94952573203301,529417.503077984,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
22,-0.0905231494944175,7,-11.8471316738844,5,-7.30008621229002,3,-0.13923246722955,7,-7.3009635014872,3,-0.121016335248416,7,58129.4291143417,31,34834.773273468,32,34859.3662776947,31,-5.01554774610002,379157.633343697,-2.0141787210674,106876.126502991,-2.4043916771705,129550.058298111
23,-0.0331155177462373,8,-4.56457609475236,8,-2.62094795676768,6,-0.134311949992312,8,-2.8153334920203,6,-0.0772423905998292,8,32335.6156163216,27,14949.7659034729,28,16550.0072288513,27,-5.75020271616878,470727.357114315,-2.49779264200045,163943.151287079,-2.8961456958947,188217.324407578
24,0,26,0,26,0,24,0,23.5,0,24,0,23.5,0,8,0,10,0,10,-5.95055075233597,532065.417935669,-2.81966141703808,210472.995954513,-3.23819478384026,244081.794059753
25,-0.206916724914434,5,-12.944609957656,4,-2.33189691829525,8,-0.246948958904135,4,-2.33189691829525,8,-0.246948958904135,4,54197.0877685547,29,8050.15684509277,25,8050.15684509277,25,-4.51943670448007,321028.204229355,-2.69804261454567,180261.81722641,-3.09639566843991,204535.990346909
26,-0.220444864367109,4,-13.6595425457069,3,-3.71620998880645,5,-0.196428855905285,5,-3.71620998880645,5,-0.196428855905285,5,54561.6754302979,30,17152.4384765625,29,17152.4384765625,28,-3.97736761077588,266831.1164608,-2.38803770243732,148993.385383606,-2.77825065854041,171667.317178726
27,-0.013621442997716,10,-0.941425869809627,10,-0.32215371399765,11,-0.0159037776309609,11,-0.396791222137085,11,-0.0107612348107716,11,10881.6458733082,24,4462.87999916077,23,7274.33055496216,23,-5.90580116159565,508120.271221876,-2.8113215931259,206476.39909172,-3.22985495992807,240085.19719696
