"WARD_CODE","Rall","Rallr","Call","Callr","C61","C61r","R61","R61r","Pall","Pallr","P61","P61r","Ccumall","Pcumall","Ccum61","Pcum61"
1,-0.54541267655061,12,-38.8790990043664,10,-20.2903805327883,10,-0.652803613763788,15,76397.9846916199,29,31987.8819999695,23,-42.8798933955663,947477.349164247,-17.3161878957025,343873.331525326
2,-0.9357061941115,6,-63.2347847785223,7,-40.3125477506643,5,-1.13260845151717,5,71023.9118652344,28,37828.9039764404,29,-36.6203878730703,733924.275557041,-10.9807940694523,562300.608579159
3,-0.718259188669085,10,-20.1908236213749,14,-5.66847176798019,17,-0.833567726779087,11,29681.3176193237,10,7471.048828125,5,-46.6593985282136,1135952.53661227,-19.8885878251963,13643.2064962387
4,-0.0381391070694162,29,-1.42758092600616,27,-0.000441407035154185,32,-0.0221423953771591,29,13815.332028389,3,11.2340364456177,2,-51.8185136070274,1620823.86563218,-21.034889464395,11.2340364456177
5,-0.479671111866098,14,-20.55364702829,13,-6.93007622691435,15,-0.215987962739198,19,52550.1130390167,18,34308.7985153198,25,-45.8138866512716,1106271.21899295,-19.3912150232627,412124.445584774
6,-0.0406330957200073,27,-0.915467667130644,30,-0.753395453326487,28,-0.0398422090052548,28,22654.3348045349,6,19101.7184791565,16,-51.9459081659806,1719502.94369376,-20.9935079981618,168946.1270504
7,-0.050000063691577,26,-0.984626415712582,29,-0.698652448651332,29,-0.053541558062665,26,22780.0621213913,7,16689.0694189072,13,-51.9075719990153,1696848.60888922,-21.0227648008691,112195.467252731
8,-0.0231570525080551,30,-1.14208798495751,28,-0.758469780837837,27,-0.0214683020780758,30,53244.6811356544,19,37440.0040302277,27,-51.8663397370508,1674068.54676783,-20.9619587748231,486687.664174557
9,-0.324365861873936,16,-12.4818857591776,20,-2.91586452388409,22,-1.01479743409225,8,26145.3654241562,8,1430.58934020996,3,-50.4775149332929,1371092.23192561,-20.6698924839642,1441.82337665558
10,-0.960002278890404,5,-292.337413688793,1,-46.1876516541131,4,-5.9507565906603,1,172559.859415531,33,7533.96683502197,6,-12.2419352465994,172559.859415531,-9.2926639291397,21177.1733312607
11,-1.17541966684222,2,-208.4372973147,2,-50.8808377233687,3,-1.68089544536918,2,169757.893442154,32,31420.321849823,22,-20.9704652849034,342317.752857685,-7.35850766221704,311885.449525356
12,-0.00953662945006442,33,-0.794684850124259,31,0,33,NA,NA,28373.465903759,9,0,1,-51.979186426036,1747876.40959752,-21.034889464395,0
13,-0.0102405833957855,32,-0.0678886632903307,33,-0.0478975181225798,31,-0.0101180991461111,32,6663.51883888245,1,4730.33429145813,4,-51.9953869166846,1771115.6282655,-21.0348709800133,6172.15766811371
14,-0.0192447795413538,31,-0.318979053397124,32,-0.241198039841547,30,-0.018907301069703,31,16575.6998291016,4,12667.9702100754,10,-51.9925440078366,1764452.10942662,-21.032865221298,65889.5225505829
15,-0.0397393006860865,28,-1.57823277067683,25,-0.979286976849628,25,-0.0421877478142055,27,36283.1515741348,12,22479.8469777107,20,-51.6969031128929,1593397.94713414,-20.8950491017896,253810.937184811
16,-0.153675910853195,22,-13.677519420945,19,-3.23174907958182,20,-0.320067738069623,17,58244.5904434919,22,13898.7704706192,11,-49.9548228998265,1344946.86650145,-20.4236087842279,79788.2930212021
17,-0.322143775524621,17,-28.9460471710786,11,-11.5983861054352,12,-0.588072428072337,16,67208.9576678276,26,20626.683391571,18,-44.0920394245059,1014686.30683207,-18.3793844758924,209158.707654953
