"WARD_CODE","Rall","Rallr","Call","Callr","C61","C61r","R61","R61r","Pall","Pallr","P61","P61r","Ccumall","Pcumall","Ccum61","Pcum61"
18,-0.107154127611709,23,-1.47647767392561,26,-0.839333211202217,26,-0.107946288224828,23,13610.5864696503,2,7717.41617202759,7,-51.7587321612148,1607008.53360379,-20.9301970587076,28894.5895032883
19,-0.848393626493357,7,-55.6441836972919,8,-30.3051049277825,8,-0.828310080827811,12,66832.0277137756,25,37123.2145595551,26,-38.9505463193556,800756.303270816,-15.3018134148628,449247.660144329
20,-0.745386695708422,9,-15.1983673224264,17,-8.03780086465505,14,-0.667909470315163,14,20188.2142181396,5,11673.5748596191,8,-48.76948241341,1253820.28945041,-19.1010108261558,40568.1643629074
21,-0.22301229163138,19,-9.19920104089156,21,-5.3063371602484,18,-0.199688917207243,20,40338.3769836426,15,26654.1904907227,21,-50.8627411075346,1411430.60890925,-20.1107962489923,280465.127675533
22,-0.715770210898901,11,-69.3284974485528,5,-34.2758987737808,7,-0.863053535148701,10,95538.4264240265,30,42686.1391639709,30,-31.1429670110482,607479.489080905,-14.032755419562,604986.74774313
23,-0.174724793349841,20,-15.8296553971688,16,-2.63911390087203,23,-0.223865541079676,18,58390.7023267746,23,12653.3879776001,9,-48.1330348705948,1233632.07523227,-20.7804081414546,53221.5523405075
24,-0.0814807552378625,25,-3.43005920474263,24,-2.96539022581746,21,-0.0864047422642321,24,41548.124710083,16,33942.3155441284,24,-51.6308129633671,1557114.79556,-20.5477876044045,377815.647069454
25,-1.10303623408994,3,-67.5660254065669,6,-57.6248984469749,2,-1.10976315337102,6,55420.8746109009,20,47152.3569869995,33,-33.9723650598994,662900.363691806,-5.2278193153423,738937.465878963
26,-1.39617194680579,1,-86.7312050037951,4,-67.2154268033993,1,-1.55803991250437,3,63074.169342041,24,43508.6495666504,32,-28.2397636003048,511941.062656879,-2.81471636530148,691785.108891964
27,-0.485891421464226,13,-54.953709175544,9,-27.8128820696652,9,-1.17730662841385,4,70323.0612018108,27,18551.9571094513,14,-41.2517904221841,871079.364472627,-16.4665069688688,130747.424362183
28,-0.172639400210734,21,-9.06730406056097,22,-6.20879074219282,16,-0.181488691942721,21,57295.5927848816,21,37784.0404281616,28,-51.2424439576419,1468726.20169413,-19.6512146355824,524471.704602718
29,-0.993842009665193,4,-20.5640647468758,12,-9.19463637963421,13,-0.986586117984455,9,39034.7991218567,13,15718.1048126221,12,-44.9531811643248,1053721.10595393,-18.7644195001652,95506.3978338242
30,-0.834626789007868,8,-86.8596387679898,3,-38.6049382668391,6,-1.03015058915976,7,106549.140457153,31,43289.7115821838,31,-24.6078035917706,448866.893314838,-12.5974162749313,648276.459325314
31,-0.477296379654063,15,-19.3607804588942,15,-13.7907482294989,11,-0.736296822410344,13,39288.8362932205,14,19585.8972129822,17,-47.4701514787536,1175241.37290549,-17.8936899153633,188532.024263382
32,-0.294747507074694,18,-14.6284113946819,18,-4.23821426184558,19,-0.138746936836153,22,32881.9866075516,11,22172.3825521469,19,-49.3820624550633,1286702.27605796,-20.2882759081985,231331.0902071
33,-0.08916002665834,24,-5.84419265197573,23,-1.75833915595051,24,-0.0822808912035376,25,46840.4691557884,17,19096.9842090607,15,-51.4871756432355,1515566.67084992,-20.8540404344174,149844.408571243
